id_nivelriesgo,id_dispositivo,Puntuacion,Nivel_detectado,Vegetacion,Estacion
1,1,2.66667,alto,Con vegetación,Lluviosa
2,1,2.66667,alto,Con vegetación,Lluviosa
3,1,2.66667,alto,Con vegetación,Lluviosa
4,1,2.66667,alto,Con vegetación,Lluviosa
5,1,2.66667,alto,Con vegetación,Lluviosa
6,1,2.66667,alto,Con vegetación,Lluviosa
7,1,2.66667,alto,Con vegetación,Lluviosa
8,1,2.66667,alto,Con vegetación,Lluviosa
9,1,2.66667,alto,Con vegetación,Lluviosa
10,1,2.66667,alto,Con vegetación,Lluviosa
11,1,2.66667,alto,Con vegetación,Lluviosa
12,1,2.66667,alto,Con vegetación,Lluviosa
13,1,2.66667,alto,Con vegetación,Lluviosa
14,1,2.66667,alto,Con vegetación,Lluviosa
15,1,2.66667,alto,Con vegetación,Lluviosa
16,1,2.66667,alto,Con vegetación,Lluviosa
17,1,2.66667,alto,Con vegetación,Lluviosa
18,1,2.66667,alto,Con vegetación,Lluviosa
19,1,2.66667,alto,Con vegetación,Lluviosa
20,1,2.66667,alto,Con vegetación,Lluviosa
21,1,2.66667,alto,Con vegetación,Lluviosa
22,1,2.66667,alto,Con vegetación,Lluviosa
23,1,2.66667,alto,Con vegetación,Lluviosa
24,1,2.66667,alto,Con vegetación,Lluviosa
25,1,2.66667,alto,Con vegetación,Lluviosa
26,1,2.66667,alto,Con vegetación,Lluviosa
27,1,2.66667,alto,Con vegetación,Lluviosa
28,1,2.66667,alto,Con vegetación,Lluviosa
29,1,2.66667,alto,Con vegetación,Lluviosa
30,1,2.66667,alto,Con vegetación,Lluviosa
31,1,2.66667,alto,Con vegetación,Lluviosa
32,1,2.66667,alto,Con vegetación,Lluviosa
33,1,2.66667,alto,Con vegetación,Lluviosa
34,1,2.66667,alto,Con vegetación,Lluviosa
35,1,2.66667,alto,Con vegetación,Lluviosa
36,1,2.66667,alto,Con vegetación,Lluviosa
37,1,2.66667,alto,Con vegetación,Lluviosa
38,1,2.66667,alto,Con vegetación,Lluviosa
39,1,2.66667,alto,Con vegetación,Lluviosa
40,1,2.66667,alto,Con vegetación,Lluviosa
41,1,2.66667,alto,Con vegetación,Lluviosa
42,1,2.66667,alto,Con vegetación,Lluviosa
43,1,2.66667,alto,Con vegetación,Lluviosa
44,1,2.66667,alto,Con vegetación,Lluviosa
45,1,2.66667,alto,Con vegetación,Lluviosa
46,1,2.66667,alto,Con vegetación,Lluviosa
47,1,2.66667,alto,Con vegetación,Lluviosa
48,1,2.66667,alto,Con vegetación,Lluviosa
49,1,2.66667,alto,Con vegetación,Lluviosa
50,1,2.66667,alto,Con vegetación,Lluviosa
51,1,2.66667,alto,Con vegetación,Lluviosa
52,1,2.66667,alto,Con vegetación,Lluviosa
53,1,2.66667,alto,Con vegetación,Lluviosa
54,1,2.66667,alto,Con vegetación,Lluviosa
55,1,2.66667,alto,Con vegetación,Lluviosa
56,1,2.66667,alto,Con vegetación,Lluviosa
57,1,2.66667,alto,Con vegetación,Lluviosa
58,1,2.66667,alto,Con vegetación,Lluviosa
59,1,2.66667,alto,Con vegetación,Lluviosa
60,1,2.66667,alto,Con vegetación,Lluviosa
61,1,2.66667,alto,Con vegetación,Lluviosa
62,1,2.66667,alto,Con vegetación,Lluviosa
63,1,2.66667,alto,Con vegetación,Lluviosa
64,1,2.66667,alto,Con vegetación,Lluviosa
65,1,2.66667,alto,Con vegetación,Lluviosa
66,1,2.66667,alto,Con vegetación,Lluviosa
67,1,2.66667,alto,Con vegetación,Lluviosa
68,1,2.66667,alto,Con vegetación,Lluviosa
69,1,2.66667,alto,Con vegetación,Lluviosa
70,1,2.66667,alto,Con vegetación,Lluviosa
71,1,2.66667,alto,Con vegetación,Lluviosa
72,1,2.66667,alto,Con vegetación,Lluviosa
73,1,2.66667,alto,Con vegetación,Lluviosa
74,1,2.66667,alto,Con vegetación,Lluviosa
75,1,2.66667,alto,Con vegetación,Lluviosa
76,1,2.66667,alto,Con vegetación,Lluviosa
77,1,2.66667,alto,Con vegetación,Lluviosa
78,1,2.66667,alto,Con vegetación,Lluviosa
79,1,2.66667,alto,Con vegetación,Lluviosa
80,1,2.66667,alto,Con vegetación,Lluviosa
81,1,2.66667,alto,Con vegetación,Lluviosa
82,1,2.66667,alto,Con vegetación,Lluviosa
83,1,2.66667,alto,Con vegetación,Lluviosa
84,1,2.66667,alto,Con vegetación,Lluviosa
85,1,2.66667,alto,Con vegetación,Lluviosa
86,1,2.66667,alto,Con vegetación,Lluviosa
87,1,2.66667,alto,Con vegetación,Lluviosa
88,1,2.66667,alto,Con vegetación,Lluviosa
89,1,2.66667,alto,Con vegetación,Lluviosa
90,1,2.66667,alto,Con vegetación,Lluviosa
91,1,2.66667,alto,Con vegetación,Lluviosa
92,1,2.66667,alto,Con vegetación,Lluviosa
93,1,2.66667,alto,Con vegetación,Lluviosa
94,1,2.66667,alto,Con vegetación,Lluviosa
95,1,2.66667,alto,Con vegetación,Lluviosa
96,1,2.66667,alto,Con vegetación,Lluviosa
97,1,2.66667,alto,Con vegetación,Lluviosa
98,1,2.66667,alto,Con vegetación,Lluviosa
99,1,2.66667,alto,Con vegetación,Lluviosa
100,1,2.66667,alto,Con vegetación,Lluviosa
101,1,2.33333,moderado,Con vegetación,Lluviosa
102,1,2.33333,moderado,Con vegetación,Lluviosa
103,1,2.33333,moderado,Con vegetación,Lluviosa
104,1,2.66667,alto,Con vegetación,Lluviosa
105,1,2.33333,moderado,Con vegetación,Lluviosa
106,1,2.33333,moderado,Con vegetación,Lluviosa
107,1,2.33333,moderado,Con vegetación,Lluviosa
108,1,2.33333,moderado,Con vegetación,Lluviosa
109,1,2.33333,moderado,Con vegetación,Lluviosa
110,1,2.33333,moderado,Con vegetación,Lluviosa
111,1,2.66667,alto,Con vegetación,Lluviosa
112,1,2.66667,alto,Con vegetación,Lluviosa
113,1,2.66667,alto,Con vegetación,Lluviosa
114,1,2.66667,alto,Con vegetación,Lluviosa
115,1,2.33333,moderado,Con vegetación,Lluviosa
116,1,2.33333,moderado,Con vegetación,Lluviosa
117,1,2.33333,moderado,Con vegetación,Lluviosa
118,1,2.66667,alto,Con vegetación,Lluviosa
119,1,2.66667,alto,Con vegetación,Lluviosa
120,1,2.66667,alto,Con vegetación,Lluviosa
121,1,2.66667,alto,Con vegetación,Lluviosa
122,1,2.66667,alto,Con vegetación,Lluviosa
123,1,2.33333,moderado,Con vegetación,Lluviosa
124,1,2.33333,moderado,Con vegetación,Lluviosa
125,1,2.66667,alto,Con vegetación,Lluviosa
126,1,2.66667,alto,Con vegetación,Lluviosa
127,1,2.66667,alto,Con vegetación,Lluviosa
128,1,2.66667,alto,Con vegetación,Lluviosa
129,1,2.66667,alto,Con vegetación,Lluviosa
130,1,2.33333,moderado,Con vegetación,Lluviosa
131,1,2.66667,alto,Con vegetación,Lluviosa
132,1,2.66667,alto,Con vegetación,Lluviosa
133,1,2.66667,alto,Con vegetación,Lluviosa
134,1,2.0,moderado,Sin vegetación,Seca
135,1,1.66667,moderado,Sin vegetación,Seca
136,1,1.66667,moderado,Sin vegetación,Seca
137,1,2.0,moderado,Sin vegetación,Seca
138,1,2.0,moderado,Sin vegetación,Seca
139,1,1.66667,moderado,Sin vegetación,Seca
140,1,2.0,moderado,Sin vegetación,Seca
141,1,2.0,moderado,Sin vegetación,Seca
142,1,1.66667,moderado,Sin vegetación,Seca
143,1,1.66667,moderado,Sin vegetación,Seca
144,1,2.0,moderado,Sin vegetación,Seca
145,1,2.0,moderado,Sin vegetación,Seca
146,1,1.66667,moderado,Sin vegetación,Seca
147,1,2.0,moderado,Sin vegetación,Seca
148,1,2.0,moderado,Sin vegetación,Seca
149,1,1.66667,moderado,Sin vegetación,Seca
150,1,2.0,moderado,Sin vegetación,Seca
151,1,2.0,moderado,Sin vegetación,Seca
