id_lectura,id_dispositivo,Timestamp,Temperatura,Humedad,Frecuencia_audio,Luz
3,1,2025-12-04 15:54:39,24.8,34.0,,normal
4,1,2025-12-04 15:54:39,,,234.375,
5,1,2025-12-04 15:57:39,26.2,34.0,,normal
6,1,2025-12-04 15:57:39,,,480.469,
7,1,2025-12-04 16:00:39,26.7,34.0,,normal
8,1,2025-12-04 16:00:39,,,421.875,
9,1,2025-12-04 16:03:39,26.3,34.0,,normal
10,1,2025-12-04 16:03:39,,,480.469,
11,1,2025-12-04 16:06:39,26.2,34.0,,normal
12,1,2025-12-04 16:06:39,,,363.281,
13,1,2025-12-04 16:09:39,25.3,34.0,,normal
14,1,2025-12-04 16:09:39,,,421.875,
15,1,2025-12-04 16:12:39,25.3,35.0,,normal
16,1,2025-12-04 16:12:39,,,421.875,
17,1,2025-12-04 16:15:39,25.8,34.0,,normal
18,1,2025-12-04 16:15:39,,,421.875,
19,1,2025-12-04 16:18:39,25.8,34.0,,normal
20,1,2025-12-04 16:18:39,,,480.469,
21,1,2025-12-04 16:21:39,25.8,34.0,,normal
22,1,2025-12-04 16:21:39,,,421.875,
23,1,2025-12-04 16:24:39,25.7,33.0,,normal
24,1,2025-12-04 16:24:39,,,234.375,
25,1,2025-12-04 16:27:39,25.3,34.0,,normal
26,1,2025-12-04 16:27:39,,,234.375,
27,1,2025-12-04 16:30:39,25.2,34.0,,normal
28,1,2025-12-04 16:30:39,,,246.094,
29,1,2025-12-04 16:33:39,25.8,34.0,,normal
30,1,2025-12-04 16:33:39,,,246.094,
31,1,2025-12-04 16:36:39,25.3,34.0,,normal
32,1,2025-12-04 16:36:39,,,234.375,
